Module Marks Summer 2013. ,,,,,
Undergraduate Degree Students,,,,,
Some qualifications are excluded (THEO COMDEG LOCDEG COMMST DEFT & DISDEG),,,,,
"Includes block codes 1,51,5S,R2 and 2 but excludes RB (year long)",,,,,
,,,,,
,,,,,
Qual Code,Qual Description,Year,Module,Mark,Grade
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,HY119,60,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,HY119,65,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,LN101,56,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,LN101,,ABSENT
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,LN102,45,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,LN102,,ABSENT
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,MN103,52,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,MN104,54,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,MN109,52,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,MN172,75,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,PH101,63,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,PH101,64,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,PH101,70,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,PH101,72,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,PH102,57,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,PH102,63,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,PH102,68,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,PH102,70,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,PH103,46,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,PH103,50,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,PH103,67,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,PH103,95,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,PH104,46,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,PH104,53,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,PH104,56,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,PH104,70,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,PO104,57,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,PO104,62,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SG102,53,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SG102,58,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SG106,52,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SG106,62,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SG108,56,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SG108,,ABSENT
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SG123,54,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SG123,55,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SG124,62,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SG124,62,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SO101,52,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SO101,55,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SO101,55,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SO101,57,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SO101,60,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SO101,61,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SO101,62,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SO101,,ABSENT
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SO102,25,FAIL
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SO102,32,PASS BY COMPENSATION
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SO102,54,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SO102,58,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SO102,62,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SO102,63,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SO102,64,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SO102,69,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SO103,20,FAIL
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SO103,20,PASS BY COMPENSATION
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SO103,48,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SO103,50,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SO103,53,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SO103,53,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SO103,58,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SO103,63,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SO104,48,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SO104,57,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SO104,58,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SO104,58,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SO104,60,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SO104,,ABSENT
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SPA101,2,FAIL
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SPA101,52,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SPA101,61,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SPA101,63,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SPA101,67,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SPA101,89,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SPA102,42,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SPA102,48,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SPA102,60,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SPA102,65,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SPA102,88,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SPA102,,ABSENT
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SPA103,49,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SPA103,67,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SPA104,57,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SPA104,65,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SPA105,41,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SPA105,55,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SPA105,56,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SPA105,60,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SPA105,65,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SPA105,66,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SPA105,67,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SPA105,75,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SPA106,51,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SPA106,51,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SPA106,51,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SPA106,62,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SPA106,64,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,SPA106,66,PASS
